no,ModelType,SNS,gender,age,YoB,Living Area,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,group,PerceivedExpertise_01,PerceivedExpertise_02,PerceivedExpertise_03,Intimacy_01,Intimacy_02,Intimacy_03,Intimacy_04,TrustWorthiness_01,TrustWorthiness_02,TrustWorthiness_03,Ad Attitude_01,Ad Attitude_02,Ad Attitude_03,Ad Attitude_04,Purchase Intent_01,Purchase Intent_02,Tourism Attitude,Similarity_01,Similarity_02,IntentPerception_01,IntentPerception_02,CognitivePerception_01,CognitivePerception_02,EmotionalPerception_01,EmotionalPerception_02,Empathy_01,Empathy_02,Empathy_03,Likeness to Virtualhuman,FrequentlyUsedSNSChannel,SNSUsageTime,MainSNSActivity,MainlyUsedSNSChannel,ReasonForObtainingTourismInfo,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,Occupation,Occupation,Occupation,Occupation,Occupation
130,Virtual,No SNS,2,44,3,15,,2,3,4,,6,,,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,2,1,2,,,,,,,,,,,1,5
134,Human,No SNS,2,43,3,15,1,2,3,4,5,6,7,,4,3,3,2,4,4,4,4,3,3,3,4,4,4,3,4,2,5,4,4,4,4,4,4,4,5,5,5,5,4,1,4,1,1,4,,,3,4,,,,8,,1,2
136,Human,No SNS,1,58,4,1,1,2,3,4,5,,7,,4,3,3,2,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,1,2,,,,,,,,,,,1,2
137,Virtual,No SNS,2,37,2,1,1,2,,4,5,6,,,3,3,3,3,5,5,2,4,4,3,3,1,1,3,1,1,1,1,1,1,4,4,3,3,3,3,1,2,1,3,2,1,1,1,2,,,,,5,,,,,2,2
139,Human,SNS,2,29,1,1,1,2,3,4,5,6,7,,2,3,3,2,3,4,3,3,2,2,3,3,3,4,3,2,3,3,4,2,4,4,4,4,4,4,3,3,4,2,2,4,1,1,2,1,,,4,,,,,,2,2
140,Human,SNS,2,38,2,8,1,2,3,4,5,6,7,,2,3,3,2,2,3,3,3,3,2,2,2,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,2,2,3,1,4,1,1,1,,2,,,5,,,,,1,3
141,Human,SNS,1,24,1,1,1,2,3,4,5,6,7,,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,3,4,3,4,3,4,4,4,1,5,1,1,2,1,,3,,,,,,9,2,5
144,Human,SNS,1,37,2,5,1,2,,4,,6,,,2,4,4,5,3,4,3,4,4,4,5,4,5,4,4,3,3,4,4,4,4,4,4,3,4,3,4,4,4,3,1,4,1,1,1,1,,,4,5,,,8,,2,5
145,Human,SNS,1,55,4,1,1,2,,4,5,6,7,,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,2,3,2,2,2,4,1,4,1,1,1,,,3,4,,6,7,,,1,2
147,Human,SNS,2,36,2,14,1,2,3,4,5,6,7,,2,4,3,3,2,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,3,4,3,3,2,2,2,2,1,5,1,1,1,1,,,4,,,,8,,2,2
148,Human,SNS,2,41,3,10,1,2,3,4,5,6,7,,2,2,2,3,3,4,3,4,3,2,3,4,4,3,5,2,3,5,3,4,4,3,1,4,2,3,2,3,3,4,4,3,3,1,4,,,3,4,5,,,,,1,7
149,Human,SNS,2,40,3,1,1,2,3,4,5,6,7,,2,2,2,2,2,2,2,3,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,,,3,,,,,,,2,2
